id,kickoff_time_formatted,started,event_day,deadline_time,deadline_time_formatted,team_h_difficulty,team_a_difficulty,code,kickoff_time,team_h_score,team_a_score,finished,minutes,provisional_start_time,finished_provisional,event,team_a,team_h
178,16 Dec 16:00,1,1,2017-12-16T11:30:00Z,16 Dec 11:30,2,2,919070,2017-12-16T16:00:00Z,0,3,1,90,0,1,18,20,15
179,16 Dec 15:00,1,1,2017-12-16T11:30:00Z,16 Dec 11:30,2,3,919071,2017-12-16T15:00:00Z,1,4,1,90,0,1,18,8,18
180,17 Dec 14:15,1,2,2017-12-16T11:30:00Z,16 Dec 11:30,4,2,919072,2017-12-17T14:15:00Z,1,2,1,90,0,1,18,12,19
181,22 Dec 19:45,1,1,2017-12-22T18:45:00Z,22 Dec 18:45,4,4,919073,2017-12-22T19:45:00Z,3,3,1,90,0,1,19,10,1
182,23 Dec 15:00,1,2,2017-12-22T18:45:00Z,22 Dec 18:45,2,2,919074,2017-12-23T15:00:00Z,1,0,1,90,0,1,19,18,3
183,23 Dec 17:30,1,2,2017-12-22T18:45:00Z,22 Dec 18:45,4,3,919075,2017-12-23T17:30:00Z,0,3,1,90,0,1,19,17,4
184,23 Dec 12:30,1,2,2017-12-22T18:45:00Z,22 Dec 18:45,4,3,919076,2017-12-23T12:30:00Z,0,0,1,90,0,1,19,5,7
185,23 Dec 19:45,1,2,2017-12-22T18:45:00Z,22 Dec 18:45,4,3,919077,2017-12-23T19:45:00Z,2,2,1,90,0,1,19,12,9
186,23 Dec 15:00,1,2,2017-12-22T18:45:00Z,22 Dec 18:45,3,5,919078,2017-12-23T15:00:00Z,4,0,1,90,0,1,19,2,11
187,23 Dec 15:00,1,2,2017-12-22T18:45:00Z,22 Dec 18:45,2,2,919079,2017-12-23T15:00:00Z,1,1,1,90,0,1,19,8,14
188,23 Dec 15:00,1,2,2017-12-22T18:45:00Z,22 Dec 18:45,2,2,919080,2017-12-23T15:00:00Z,3,1,1,90,0,1,19,19,15
189,23 Dec 15:00,1,2,2017-12-22T18:45:00Z,22 Dec 18:45,2,3,919081,2017-12-23T15:00:00Z,1,1,1,90,0,1,19,6,16
190,23 Dec 15:00,1,2,2017-12-22T18:45:00Z,22 Dec 18:45,3,3,919082,2017-12-23T15:00:00Z,2,3,1,90,0,1,19,13,20
191,26 Dec 15:00,1,1,2017-12-26T11:30:00Z,26 Dec 11:30,2,3,919083,2017-12-26T15:00:00Z,3,3,1,90,0,1,20,20,2
192,26 Dec 15:00,1,1,2017-12-26T11:30:00Z,26 Dec 11:30,2,4,919084,2017-12-26T15:00:00Z,2,0,1,90,0,1,20,3,5
193,28 Dec 20:00,1,3,2017-12-26T11:30:00Z,26 Dec 11:30,4,3,919085,2017-12-28T20:00:00Z,2,3,1,90,0,1,20,1,6
194,26 Dec 15:00,1,1,2017-12-26T11:30:00Z,26 Dec 11:30,2,2,919086,2017-12-26T15:00:00Z,1,1,1,90,0,1,20,15,8
195,26 Dec 17:30,1,1,2017-12-26T11:30:00Z,26 Dec 11:30,2,4,919087,2017-12-26T17:30:00Z,5,0,1,90,0,1,20,16,10
196,26 Dec 15:00,1,1,2017-12-26T11:30:00Z,26 Dec 11:30,3,4,919088,2017-12-26T15:00:00Z,2,2,1,90,0,1,20,4,12
197,27 Dec 19:45,1,2,2017-12-26T11:30:00Z,26 Dec 11:30,5,3,919089,2017-12-27T19:45:00Z,0,1,1,90,0,1,20,11,13
198,26 Dec 12:30,1,1,2017-12-26T11:30:00Z,26 Dec 11:30,2,4,919090,2017-12-26T12:30:00Z,5,2,1,90,0,1,20,14,17
199,26 Dec 15:00,1,1,2017-12-26T11:30:00Z,26 Dec 11:30,3,3,919091,2017-12-26T15:00:00Z,2,1,1,90,0,1,20,9,18
200,26 Dec 15:00,1,1,2017-12-26T11:30:00Z,26 Dec 11:30,2,2,919092,2017-12-26T15:00:00Z,0,0,1,90,0,1,20,7,19
201,30 Dec 15:00,1,1,2017-12-30T14:00:00Z,30 Dec 14:00,2,3,919093,2017-12-30T15:00:00Z,2,1,1,90,0,1,21,7,2
202,30 Dec 15:00,1,1,2017-12-30T14:00:00Z,30 Dec 14:00,2,4,919094,2017-12-30T15:00:00Z,5,0,1,90,0,1,21,15,5
203,31 Dec 12:00,1,2,2017-12-30T14:00:00Z,30 Dec 14:00,5,3,919095,2017-12-31T12:00:00Z,0,0,1,90,0,1,21,11,6
204,30 Dec 15:00,1,1,2017-12-30T14:00:00Z,30 Dec 14:00,3,2,919096,2017-12-30T15:00:00Z,0,0,1,90,0,1,21,4,8
205,30 Dec 15:00,1,1,2017-12-30T14:00:00Z,30 Dec 14:00,3,4,919097,2017-12-30T15:00:00Z,2,1,1,90,0,1,21,9,10
206,30 Dec 17:30,1,1,2017-12-30T14:00:00Z,30 Dec 14:00,2,4,919098,2017-12-30T17:30:00Z,0,0,1,90,0,1,21,14,12
